Div,Ticker
3.5169,KMERF
3.5135,NGG
3.5024,SUN
3.5,WES
3.5,WINA
3.5,WPC
3.5,CVI
3.5,CTA-A
3.5,HL-B
3.5,UEPEN
3.495974,CHDRY
3.4845166,AGESY
3.48,ATO
3.4754,AIQUF
3.465,CQP
3.4636976,IFCZF
3.46248,BCAT
3.44,BX
3.44,IDA
3.44,LSTR
3.4249,PGPEF
3.42,EPR
3.4018,MCQEF
3.4,MCO
3.4,QCOM
3.4,THG
3.4,DAC
3.4,MSM
3.4,NMPWP
3.39481,CIB
3.3892,TTFNF
3.383,CBAUF
3.3752,APO-A
3.3752,BTSGU
3.375,GTLS-B
3.36,TT
3.3584,ACSAF
3.3491952,EHMEF
3.34,WEC
3.3287939,TTE
3.32,ED
3.32,MSFT
3.3179,MBRFF
3.3,RL
3.3,ROP
3.2938,VONHF
3.2898,NSRGF
3.2829,SALRF
3.28,SWK
3.28,CNTHP
3.278559,NSRGY
3.273837,KAHTY
3.2606,HLBZF
3.26,MMC
3.26,ARCH
3.25,INVUP
3.25,LXP-C
3.25,VNORP
3.2499996,GPUS-D
3.249996,LUXHP
3.2471,SBBTF
3.24,MRK
3.24,R
3.24,CINF
3.24,EMN
3.24,GEF.B
3.24,NTG
3.24,UVV
3.2367,CFRHF
3.2311,WKCMF
3.2102,OMVJF
3.2016,NGL-B
3.2,INGR
3.2,SYK
3.2,CRI
3.2,EVR
3.2,AIZ
3.2,NEN
3.1966,VGPBF
3.1788,NGL-C
3.1696,HRSEF
3.16692,CTXAY
3.162,O
3.16,CHCO
3.16,MLM
3.16,FERG
3.148816,NTIOF
3.14,SR
3.135749,IIF
3.1218,SHICF
3.12,KNTK
3.12,EIX
3.12,NDSN
3.12,JJSF
3.12,TYG
3.11295,CMWAY
3.11059,MMTRS
3.1,TX
3.0952,HALFF
3.0853,HCMLF
3.083682,NDWTY
3.08,GILD
3.08,AB
3.08,BXSL
3.08,KALU
3.08,MAN
3.08,LEA
3.06,AWK
3.0587,BICEF
3.05,HSBC
3.0452,BTAFF
3.04,STT
3.04,VAC
3.04,GLPI
3.037,C-N
3.036,HLAN
3.036,ADC
3.0344,CLPBF
3.0343136,BNS
3.0288,FRCOF
3.0118,VSCFF
3,NTRS
3,WM
3,MTH
3,TRGP
3,GRMN
3,SLG
3,DGX
3,IPAR
3,CSR
3,JKS
3,FLNG
3,IBP
3,LECO
3,ASCN
3,BST
3,BURCP
3,BYLB
3,CNBW
3,FIISP
3,MCEM
3,NYCB-U
3,SCCD
3,UNBK
2.994364,BTI
2.9865,ASMXF
2.97,AZNCF
2.969,HROWM
2.9689,ASMIY
2.9619,GBLBF
2.9615,LLAZF
2.96,SAR
2.96,MKTX
2.95264,ISDAY
2.9481,RGLXF
2.94,DTM
2.932468,MITT-C
2.93,AFG
2.9299,EBKOF
2.9236,ECMPF
2.92,PFG
2.92,BHP
2.92,GLP
2.92,UHT
2.9198112,TD
2.918234,DPMAY
2.9,CMXHF
2.88,STX
2.88,SO
2.88,LH
2.88,ARR
2.87388,VIASP
2.864,BDNNY
2.8633,SDXOF
2.86256,LSDAF
2.8608,CHMI-B
2.86,SHW
2.86,ES
2.86,IRM
2.8575456,RITM-A
2.8568,LCHTF
2.8554036,BCE
2.85,FSK
2.85,SEBYF
2.847764,EVVTY
2.8454,JBARF
2.843,NNGPF
2.84,CMA
2.84,MCK
2.84,EVGGF
2.84,HONT
2.8384,CHEOF
2.8332613,KB
2.8268,MLXSF
2.82,REG
2.82,ALE
2.8161456,RITM-B
2.804591,PUTKY
2.8,DFS
2.8,PFBC
2.8,HAS
2.8,JXN
2.8,AXP
2.8,BOH
2.8,MMM
2.8,LFUS
2.8,OMC
2.8,MDT
2.8,ARLP
2.8,DOW
2.8,ALV
2.8,SWKS
2.8,BPOP
2.8,CE
2.7999612,DLNG-B
2.7955924,ACR-C
2.7911192,GLOP-B
2.7872,LVMUY
2.78274696,SCCO
2.76,IEX
2.76,PTMN
2.752,SHEL
2.7468,IMBBF
2.7448,ATNNF
2.7387,AHEXF
2.7384,HESM
2.72388,AGNCN
2.72,BG
2.72,PPG
2.72,TRUX
2.71,VZ
2.7092,ADRZF
2.7,EQR
2.7,AON
2.6918,EUXTF
2.682,YDWAF
2.68,OHI
2.68,AEE
2.68,WELL
2.68,CCEP
2.68,YUM
2.68,OXM
2.67,D
2.67,EVRG
2.6616,CIM-B
2.66,HRI
2.66,CVS
2.6591692,GLOP-C
2.65625,WCC-A
2.6525,LEGIF
2.646,PDI
2.6408,FBKIF
2.64,SMG
2.64,MA
2.64,OGS
2.64,HCA
2.64,PII
2.64,CNTHO
2.64,NACB
2.64,SPMC
2.639459,FSUGY
2.63928032,CGEAF
2.63928032,CGECF
2.6279,PNDZF
2.625682,IRS
2.6192424,ENB
2.6181,EUZOF
2.6158076,CUBI-E
2.606,RACE
2.6,TEL
2.6,BKH
2.6,NWE
2.6,WD
2.6,BTO
2.6,GLU-B
2.6,NLY
2.595,HBBHF
2.592659,UOVEY
2.59227,WF
2.5868,CIM-D
2.58588,BSTZ
2.583115,ASUUY
2.576304,CM
2.576304,IAFNF
2.575,AATRL
2.5692,VDEVF
2.5664,CUYRF
2.56,CPK
2.556,BME
2.55,CSWC
2.531396,SIEGY
2.531,TNXXF
2.5248,AGNCM
2.5202576,CUBI-F
2.52,RTX
2.52,CBOE
2.52,MAR
2.52,ASGI
2.52,HIFS
2.52,NDP
2.52,PPLL
2.518666,WPP
2.518316,NLY-I
2.507455,KOF
2.5054,LGYRF
2.5,CDW
2.5,ADX
2.5,ALEQP
2.5,ALTG-A
2.5,RWT-A
2.5,SOIEF
2.5,THVB
2.5,TY.PR
2.4996,SOR
2.4965,NXPRF
2.4888,BDGSF
2.488191,GGAL
2.4852236,BNPQY
2.4847,DKSHF
2.4832,DRPRF
2.48,NRIM
2.48,TMP
2.48,CHRW
2.48,SRE
2.48,SWX
2.48,FRO
2.48,CNTHN
2.48,HQH
2.47,PFIS
2.469,ABLLL
2.464572,NLY-F
2.46096,PAAPU
2.46,VNOM
2.4594,TMAHF
2.4516,AHL-C
2.45,EQNR
2.448501,PPCCY
2.4471,RANJF
2.44485,NTES
2.44,TXRH
2.44,EXE
2.44,SBUX
2.44,HARL
2.44,NHC
2.438,CNFRZ
2.436,IMDZF
2.4346,OSAGF
2.433176,TRMLF
2.433176,PRBZF
2.426119,SCMWY
2.42,FDUS
2.4188632,CNI
2.4144,ELMUF
2.4056,AKRBF
2.4045504,SLF
2.402198,WTKWY
2.4,COF
2.4,STRA
2.4,VMI
2.4,BMY
2.4,UI
2.4,ESEA
2.4,OC
2.4,GIS
